other,10:00 - 11:00,チェックアウト | 搬出・帰宅準備 | 担当:中尾香織,check
website,10:00 - 18:00,[予約受付中] 自分の所有するものを記録するホームページを作る | 担当:ささじまかずま,check
map,10:00 - 18:00,BnA Alter Museumの周りで聞いた言葉を集める | 1F受付にご提出ください,check
org,10:00 - 18:00,所有するものを収納する箱を装飾する | 担当:中尾香織,check
other,11:00 - 13:00,搬出についての打ち合わせ | 担当:ささじまかずま・中尾香織,check
other,13:00 - 14:00,休憩 | 担当:中尾香織,check
map,14:00 - 15:00,BnA Alter Museumの周りで聞いた言葉のカード制作 | 担当:中尾香織,check
website,15:00 - 18:00,https://creative-community.space/kn/ を更新する| 担当:中尾香織,check
website,15:00 - 18:00 - ,[コサカさま] 写真作品のポートフォリオを作成したい | 担当:ささじまかずま,check
map,18:00 - 19:00,BnA Alter Museumの周りで聞いた言葉を展示する ｜ 担当:ささじまかずま・中尾香織,check
other,19:00,作業終了・帰宅 | 担当:ささじまかずま・中尾香織,check
